epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,7652.44,1.51434,1.10215,0.01141,0.736,0.69364,0.74483,0.4344,1.58397,1.11209,0.01621,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7818.7,1.51584,1.10716,0.01128,0.74396,0.69069,0.74514,0.43523,1.58798,1.11136,0.01619,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7984.6,1.50347,1.09647,0.01124,0.74927,0.68969,0.74923,0.43592,1.58841,1.11209,0.01616,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8151.78,1.50622,1.08511,0.01123,0.75578,0.69035,0.75198,0.43938,1.5889,1.10241,0.01611,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8319.55,1.49658,1.07385,0.01121,0.75532,0.69387,0.75517,0.44053,1.58716,1.1008,0.01609,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8487.29,1.48892,1.05895,0.01107,0.76435,0.68549,0.7568,0.44015,1.58053,1.09485,0.01605,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8654.98,1.48393,1.05893,0.01103,0.75816,0.69191,0.75746,0.4407,1.57351,1.10432,0.01598,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8823.2,1.49083,1.0565,0.01117,0.75674,0.69438,0.75471,0.43783,1.58072,1.09935,0.01611,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8991.08,1.48275,1.05644,0.01088,0.75909,0.68621,0.75495,0.43857,1.58178,1.10547,0.01604,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9158.41,1.48212,1.03781,0.01081,0.75198,0.68723,0.75453,0.43806,1.57761,1.11584,0.01601,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
