epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/fire,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
2,1454,,,,,,,,,,,,,,,,,,,,,,,,,,0.38450223207473755,0.4893186390399933,0.7239150404930115,298.7491149902344,298.25958251953125,298.4901428222656,296.8966369628906,298.7746887207031,42.93978500366211,0.7852388024330139,0.4563479721546173,0.6598666906356812,4.678991317749023,0.03450500965118408,0.034876417368650436,0.03422578424215317,0.03465963155031204,0.03940345719456673,0.4578583538532257,0.47999799251556396,0.4622536301612854,0.4595147967338562,0.49026307463645935,0.14072133600711823,0.1421353965997696,0.14142072200775146,0.14069651067256927,0.15540216863155365,0.7590464949607849,0.4369104206562042,0.43304869532585144,0.6406198740005493,0.7724811434745789,0.6811310648918152
2,1454,3898.36669921875,3883.42578125,3893.10205078125,3885.16552734375,3898.417236328125,0.6792052984237671,8.005961418151855,0.057876985520124435,0.05836237967014313,0.05830324441194534,0.058101754635572433,0.07136491686105728,0.7806715965270996,0.8547709584236145,0.8003891706466675,0.7848942279815674,0.8713846206665039,0.23096103966236115,0.23542004823684692,0.2340315580368042,0.2322911024093628,0.26419880986213684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1499,,,,,,,,,,,,,,,,,,,,,,,9.428011253476143e-05,9.428011253476143e-05,3.047665131816757e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1549,,,,,,,,,,,,,,,,,,,,,,,9.39003293751739e-05,9.39003293751739e-05,3.0353885449585505e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1599,,,,,,,,,,,,,,,,,,,,,,,9.350916661787778e-05,9.350916661787778e-05,3.0227438401198015e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1649,,,,,,,,,,,,,,,,,,,,,,,9.31067334022373e-05,9.31067334022373e-05,3.0097348826529924e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1699,,,,,,,,,,,,,,,,,,,,,,,9.269311703974381e-05,9.269311703974381e-05,2.996364628415904e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1749,,,,,,,,,,,,,,,,,,,,,,,9.226844122167677e-05,9.226844122167677e-05,2.9826367153873434e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1799,,,,,,,,,,,,,,,,,,,,,,,9.183281508740038e-05,9.183281508740038e-05,2.9685545541724423e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1849,,,,,,,,,,,,,,,,,,,,,,,9.138634050032124e-05,9.138634050032124e-05,2.9541222374973586e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1899,,,,,,,,,,,,,,,,,,,,,,,9.092915570363402e-05,9.092915570363402e-05,2.939343175967224e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1939,,,,,,,,,,,,,,,,,,,,,,,,,,0.3986651301383972,0.4943104386329651,0.7324151396751404,298.7578430175781,298.713134765625,298.7409973144531,298.54644775390625,298.78106689453125,42.86269760131836,0.7961763143539429,0.46837446093559265,0.6729501485824585,4.525028228759766,0.031143764033913612,0.03207973390817642,0.031064007431268692,0.03141649439930916,0.0411624014377594,0.44107937812805176,0.47336989641189575,0.4525412917137146,0.43845102190971375,0.47978731989860535,0.13644391298294067,0.1386600136756897,0.1361173689365387,0.13655510544776917,0.1549573689699173,0.7812297940254211,0.44648778438568115,0.44565629959106445,0.6598719358444214,0.7227568626403809,0.7452534437179565
3,1939,3898.74169921875,3891.819580078125,3896.472412109375,3875.888427734375,3898.71142578125,0.7184649705886841,7.913676738739014,0.05798032879829407,0.05882680043578148,0.05893312022089958,0.05829454958438873,0.07218334078788757,0.7724157571792603,0.8308937549591064,0.7854254245758057,0.774236261844635,0.8449374437332153,0.22924035787582397,0.23321294784545898,0.23222151398658752,0.23072509467601776,0.26193901896476746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1949,,,,,,,,,,,,,,,,,,,,,,,9.046136256074533e-05,9.046136256074533e-05,2.924221689681872e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999,,,,,,,,,,,,,,,,,,,,,,,8.998309203889221e-05,8.998309203889221e-05,2.9087611892464338e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2049,,,,,,,,,,,,,,,,,,,,,,,8.949446782935411e-05,8.949446782935411e-05,2.8929659947607433e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2099,,,,,,,,,,,,,,,,,,,,,,,8.899561362341046e-05,8.899561362341046e-05,2.876840426324634e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2149,,,,,,,,,,,,,,,,,,,,,,,8.848666766425595e-05,8.848666766425595e-05,2.860388349290588e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2199,,,,,,,,,,,,,,,,,,,,,,,8.796776091912761e-05,8.796776091912761e-05,2.8436143111321144e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2249,,,,,,,,,,,,,,,,,,,,,,,8.743903163122013e-05,8.743903163122013e-05,2.826522859322722e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2299,,,,,,,,,,,,,,,,,,,,,,,8.690061076777056e-05,8.690061076777056e-05,2.809118086588569e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2349,,,,,,,,,,,,,,,,,,,,,,,8.635265112388879e-05,8.635265112388879e-05,2.7914047677768394e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2399,,,,,,,,,,,,,,,,,,,,,,,8.579528366681188e-05,8.579528366681188e-05,2.7733876777347177e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2424,,,,,,,,,,,,,,,,,,,,,,,,,,0.40296560525894165,0.5060170292854309,0.7409965395927429,298.7566833496094,298.7712097167969,298.7328796386719,298.2938537597656,298.7793273925781,42.9047966003418,0.8016161918640137,0.47265517711639404,0.6719217896461487,4.47898006439209,0.030495265498757362,0.03146985545754433,0.03058238886296749,0.030170194804668427,0.03582048416137695,0.449842244386673,0.4705665111541748,0.4550166726112366,0.4515005052089691,0.4828566312789917,0.13288871943950653,0.13691207766532898,0.13464663922786713,0.13416732847690582,0.14963845908641815,0.7831326127052307,0.4544913172721863,0.4671541750431061,0.6594407558441162,0.7549259662628174,0.7286779284477234
4,2424,3898.642333984375,3896.58544921875,3896.87744140625,3879.85009765625,3898.098388671875,0.6280666589736938,7.73832368850708,0.05677328258752823,0.056860193610191345,0.057025279849767685,0.05667204037308693,0.07031053304672241,0.7525864839553833,0.8215076327323914,0.7730430364608765,0.7589124441146851,0.8391927480697632,0.22316312789916992,0.22608591616153717,0.22469697892665863,0.22287268936634064,0.2556195855140686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2449,,,,,,,,,,,,,,,,,,,,,,,8.522866119164973e-05,8.522866119164973e-05,2.7550711365620373e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2499,,,,,,,,,,,,,,,,,,,,,,,8.465293649351224e-05,8.465293649351224e-05,2.7364603738533333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2549,,,,,,,,,,,,,,,,,,,,,,,8.406824781559408e-05,8.406824781559408e-05,2.71756016445579e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2599,,,,,,,,,,,,,,,,,,,,,,,8.347476250492036e-05,8.347476250492036e-05,2.698375283216592e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2649,,,,,,,,,,,,,,,,,,,,,,,8.287262608064339e-05,8.287262608064339e-05,2.678910959730274e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
