epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
1,2649,,,,,,,,,,,,,,,,,,,,,,,9.375652007292956e-05,9.375652007292956e-05,3.030739662790438e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2699,,,,,,,,,,,,,,,,,,,,,,,9.352392953587696e-05,9.352392953587696e-05,3.023221097464557e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2749,,,,,,,,,,,,,,,,,,,,,,,9.328738815383986e-05,9.328738815383986e-05,3.0155747481330764e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2799,,,,,,,,,,,,,,,,,,,,,,,9.304692503064871e-05,9.304692503064871e-05,3.0078015242906986e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2849,,,,,,,,,,,,,,,,,,,,,,,9.280254744226113e-05,9.280254744226113e-05,2.9999018806847744e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2899,,,,,,,,,,,,,,,,,,,,,,,9.255428449250758e-05,9.255428449250758e-05,2.9918767268100055e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2949,,,,,,,,,,,,,,,,,,,,,,,9.230215800926089e-05,9.230215800926089e-05,2.983726517413743e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2999,,,,,,,,,,,,,,,,,,,,,,,9.204619709635153e-05,9.204619709635153e-05,2.9754523893643636e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3049,,,,,,,,,,,,,,,,,,,,,,,9.178642358165234e-05,9.178642358165234e-05,2.967055024782894e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3099,,,,,,,,,,,,,,,,,,,,,,,9.152285201707855e-05,9.152285201707855e-05,2.958535105790361e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
